key,rank,lemma,pos,gloss,prompt
mies|noun,50,mies,noun,man,"a man as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
isä|noun,59,isä,noun,father,"a father as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
äiti|noun,70,äiti,noun,mother,"a mother as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, bright summer afternoon with a few fluffy clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
poika|noun,88,poika,noun,boy,"a boy as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ihminen|noun,94,ihminen,noun,"human, human being","a human being standing as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, bright summer afternoon with a few fluffy clouds, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
lapsi|noun,110,lapsi,noun,child,"a child as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
nainen|noun,112,nainen,noun,woman,"a woman as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
pää|noun,123,pää,noun,head,"a human head as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
tyttö|noun,125,tyttö,noun,girl,"a girl as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ystävä|noun,135,ystävä,noun,friend,"two friends side by side as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, light rain falling from a soft grey sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
auto|noun,139,auto,noun,"car, automobile","a car as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, snowy winter day with a soft white landscape, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
käsi|noun,167,käsi,noun,"hand, arm","a human hand as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, autumn day with warm orange and brown foliage, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
poliisi|noun,186,poliisi,noun,police,"a police as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, warm golden sunset sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
talo|noun,207,talo,noun,house,"a house as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ase|noun,220,ase,noun,weapon,"a weapon, a sword as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, misty early morning with a pale sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
silmä|noun,260,silmä,noun,eye,"an eye as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, calm evening with a soft purple dusk sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
veli|noun,262,veli,noun,brother,"two brothers as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
ovi|noun,278,ovi,noun,door,"a door as the clear main subject, large and centered, cozy children's storybook illustration, premium soft flat-vector style, rounded geometric shapes, muted warm colors, soft daylight with a clear pale blue sky, soft rolling landscape, minimal clean composition, subtle tonal layering, no photorealism, no detailed textures, no harsh shadows, polished professional 2D digital illustration, wholesome and peaceful mood, no text"
